Transaction_ID,Account_ID,Actual_Settlement_Date,Amount,Currency,Payment_Rail
TXN-1000,ACC-LDN-02,2026-08-21 04:34:55.396460,69823.1,USD,SWIFT
TXN-1001,ACC-LDN-02,2026-09-03 04:34:55.396460,184585.94,USD,Wire
TXN-1002,ACC-LDN-02,2026-09-12 04:34:55.396460,454345.94,USD,Wire
TXN-1004,ACC-HYD-03,2026-08-25 04:34:55.396460,327368.16,USD,Wire
TXN-1005,ACC-LDN-02,2026-08-22 04:34:55.396460,10254.98,USD,ACH
TXN-1006,ACC-HYD-03,2026-09-12 04:34:55.396460,182758.74,USD,ACH
TXN-1007,ACC-NYC-01,2026-09-04 04:34:55.396460,159342.82,USD,ACH
TXN-1008,ACC-LDN-02,2026-08-21 04:34:55.396460,90681.37,USD,ACH
TXN-1009,ACC-NYC-01,2026-09-09 04:34:55.396460,271703.82,USD,ACH
TXN-1010,ACC-NYC-01,2026-09-05 04:34:55.396460,247566.69,USD,SWIFT
TXN-1011,ACC-LDN-02,2026-09-06 04:34:55.396460,349293.66,USD,Wire
TXN-1012,ACC-HYD-03,2026-08-25 04:34:55.396460,142012.04,USD,ACH
TXN-1013,ACC-NYC-01,2026-08-25 04:34:55.396460,129621.51,USD,Wire
TXN-1014,ACC-LDN-02,2026-09-07 04:34:55.396460,92462.61,USD,Wire
TXN-1015,ACC-NYC-01,2026-09-04 04:34:55.396460,117194.47,USD,ACH
TXN-1016,ACC-NYC-01,2026-08-18 04:34:55.396460,283469.98,USD,SWIFT
TXN-1017,ACC-NYC-01,2026-08-25 04:34:55.396460,207879.72,USD,ACH
TXN-1018,ACC-NYC-01,2026-09-07 04:34:55.396460,41797.2,USD,SWIFT
TXN-1020,ACC-NYC-01,2026-09-05 04:34:55.396460,130969.27,USD,SWIFT
TXN-1022,ACC-NYC-01,2026-08-16 04:34:55.396460,359012.59,USD,SWIFT
TXN-1023,ACC-HYD-03,2026-09-07 04:34:55.396460,82562.6,USD,Wire
TXN-1024,ACC-NYC-01,2026-08-26 04:34:55.396460,498892.84,USD,Wire
TXN-1025,ACC-NYC-01,2026-09-13 04:34:55.396460,140722.7,USD,SWIFT
TXN-1026,ACC-HYD-03,2026-08-20 04:34:55.396460,488541.33,USD,SWIFT
TXN-1027,ACC-HYD-03,2026-08-16 04:34:55.396460,211408.14,USD,ACH
TXN-1028,ACC-HYD-03,2026-09-11 04:34:55.396460,26194.86,USD,SWIFT
TXN-1029,ACC-NYC-01,2026-09-04 04:34:55.396460,179084.91,USD,ACH
TXN-1030,ACC-HYD-03,2026-08-18 04:34:55.396460,320832.16,USD,SWIFT
TXN-1031,ACC-HYD-03,2026-08-26 04:34:55.396460,343545.67,USD,ACH
TXN-1032,ACC-NYC-01,2026-09-09 04:34:55.396460,270157.95,USD,Wire
TXN-1033,ACC-HYD-03,2026-09-05 04:34:55.396460,229413.75,USD,SWIFT
TXN-1034,ACC-NYC-01,2026-09-14 04:34:55.396460,280917.61,USD,SWIFT
TXN-1035,ACC-LDN-02,2026-08-26 04:34:55.396460,300421.39,USD,SWIFT
TXN-1036,ACC-HYD-03,2026-09-08 04:34:55.396460,49618.13,USD,SWIFT
TXN-1037,ACC-LDN-02,2026-08-31 04:34:55.396460,191130.68,USD,ACH
TXN-1038,ACC-NYC-01,2026-09-10 04:34:55.396460,128658.37,USD,SWIFT
TXN-1039,ACC-HYD-03,2026-09-10 04:34:55.396460,403538.48,USD,Wire
TXN-1040,ACC-NYC-01,2026-08-26 04:34:55.396460,240447.31,USD,Wire
TXN-1041,ACC-LDN-02,2026-09-11 04:34:55.396460,491877.34,USD,SWIFT
TXN-1042,ACC-NYC-01,2026-09-14 04:34:55.396460,205423.98,USD,Wire
TXN-1044,ACC-HYD-03,2026-08-29 04:34:55.396460,401189.11,USD,SWIFT
TXN-1045,ACC-LDN-02,2026-09-13 04:34:55.396460,83851.6,USD,Wire
TXN-1046,ACC-NYC-01,2026-09-13 04:34:55.396460,259017.4,USD,SWIFT
TXN-1047,ACC-HYD-03,2026-08-29 04:34:55.396460,350948.28,USD,Wire
TXN-1048,ACC-LDN-02,2026-09-13 04:34:55.396460,430595.81,USD,ACH
TXN-1049,ACC-HYD-03,2026-09-02 04:34:55.396460,169719.86,USD,SWIFT
TXN-1050,ACC-HYD-03,2026-08-26 04:34:55.396460,117918.11,USD,ACH
TXN-1051,ACC-NYC-01,2026-09-06 04:34:55.396460,358463.27,USD,Wire
TXN-1052,ACC-HYD-03,2026-09-03 04:34:55.396460,406655.51,USD,ACH
TXN-1053,ACC-NYC-01,2026-09-08 04:34:55.396460,180846.33,USD,ACH
TXN-1054,ACC-HYD-03,2026-08-17 04:34:55.396460,57126.51,USD,Wire
TXN-1055,ACC-LDN-02,2026-08-20 04:34:55.396460,470856.4,USD,ACH
TXN-1056,ACC-HYD-03,2026-09-02 04:34:55.396460,204810.29,USD,ACH
TXN-1057,ACC-NYC-01,2026-08-21 04:34:55.396460,263698.16,USD,Wire
TXN-1058,ACC-NYC-01,2026-09-04 04:34:55.396460,420477.95,USD,ACH
TXN-1059,ACC-LDN-02,2026-08-23 04:34:55.396460,341088.16,USD,Wire
TXN-1060,ACC-HYD-03,2026-08-21 04:34:55.396460,370255.9,USD,ACH
TXN-1061,ACC-HYD-03,2026-09-01 04:34:55.396460,112445.09,USD,Wire
TXN-1062,ACC-LDN-02,2026-08-18 04:34:55.396460,275309.51,USD,Wire
TXN-1063,ACC-HYD-03,2026-09-08 04:34:55.396460,350934.36,USD,ACH
TXN-1064,ACC-HYD-03,2026-09-11 04:34:55.396460,121989.51,USD,ACH
TXN-1065,ACC-NYC-01,2026-08-28 04:34:55.396460,95727.91,USD,ACH
TXN-1066,ACC-HYD-03,2026-09-01 04:34:55.396460,491262.49,USD,SWIFT
TXN-1067,ACC-HYD-03,2026-09-09 04:34:55.396460,263151.59,USD,SWIFT
TXN-1068,ACC-LDN-02,2026-08-23 04:34:55.396460,137806.3,USD,SWIFT
TXN-1069,ACC-LDN-02,2026-09-09 04:34:55.396460,498164.31,USD,Wire
TXN-1070,ACC-NYC-01,2026-09-04 04:34:55.396460,483055.48,USD,ACH
TXN-1071,ACC-HYD-03,2026-08-16 04:34:55.396460,283563.79,USD,Wire
TXN-1072,ACC-HYD-03,2026-09-06 04:34:55.396460,442491.81,USD,SWIFT
TXN-1073,ACC-HYD-03,2026-09-11 04:34:55.396460,102466.48,USD,ACH
TXN-1074,ACC-NYC-01,2026-08-30 04:34:55.396460,146646.96,USD,Wire
TXN-1076,ACC-LDN-02,2026-08-21 04:34:55.396460,424863.96,USD,Wire
TXN-1077,ACC-NYC-01,2026-08-26 04:34:55.396460,429598.9,USD,ACH
TXN-1078,ACC-HYD-03,2026-09-12 04:34:55.396460,208208.98,USD,SWIFT
TXN-1079,ACC-HYD-03,2026-08-22 04:34:55.396460,445007.35,USD,SWIFT
TXN-1080,ACC-NYC-01,2026-08-29 04:34:55.396460,426954.94,USD,ACH
TXN-1081,ACC-HYD-03,2026-08-17 04:34:55.396460,468461.15,USD,Wire
TXN-1082,ACC-HYD-03,2026-08-28 04:34:55.396460,394816.92,USD,SWIFT
TXN-1083,ACC-NYC-01,2026-09-03 04:34:55.396460,337804.24,USD,SWIFT
TXN-1084,ACC-NYC-01,2026-08-19 04:34:55.396460,294536.44,USD,SWIFT
TXN-1085,ACC-HYD-03,2026-09-01 04:34:55.396460,192418.56,USD,ACH
TXN-1086,ACC-HYD-03,2026-08-22 04:34:55.396460,470665.39,USD,ACH
TXN-1087,ACC-HYD-03,2026-08-18 04:34:55.396460,487095.28,USD,Wire
TXN-1088,ACC-LDN-02,2026-08-17 04:34:55.396460,149121.28,USD,Wire
TXN-1089,ACC-LDN-02,2026-09-13 04:34:55.396460,159628.29,USD,Wire
TXN-1090,ACC-LDN-02,2026-08-20 04:34:55.396460,247950.74,USD,ACH
TXN-1091,ACC-NYC-01,2026-09-06 04:34:55.396460,229727.83,USD,ACH
TXN-1092,ACC-LDN-02,2026-08-25 04:34:55.396460,497284.16,USD,Wire
TXN-1093,ACC-NYC-01,2026-08-18 04:34:55.396460,96203.37,USD,Wire
TXN-1094,ACC-NYC-01,2026-09-05 04:34:55.396460,18856.93,USD,ACH
TXN-1095,ACC-LDN-02,2026-09-12 04:34:55.396460,252007.92,USD,Wire
TXN-1096,ACC-LDN-02,2026-09-01 04:34:55.396460,97623.13,USD,SWIFT
TXN-1097,ACC-LDN-02,2026-09-09 04:34:55.396460,189569.7,USD,ACH
TXN-1098,ACC-HYD-03,2026-08-26 04:34:55.396460,374643.56,USD,Wire
TXN-1099,ACC-LDN-02,2026-08-16 04:34:55.396460,363260.56,USD,ACH
